Date Added,Name,Time,Artist,Album,Genre,Rating,Plays,Last Played
"7/4/12, 12:13 PM",This Head I Hold,2:56,Electric Guest,JustExcellentBeats.com,Alternative,,13,"2/5/13, 9:17 PM"
"10/7/13, 6:53 PM",Walking On a Dream,3:18,Empire of the Sun,Walking On a Dream,Alternative,,43,"10/17/14, 9:11 PM"
"10/7/13, 6:53 PM",1234,3:04,Feist,The Reminder,Alternative,,2,"9/11/11, 10:52 PM"
"10/7/13, 6:53 PM",Paralyzer,3:28,Finger Eleven,Them vs. You vs. Me,Alternative,,,
"4/30/14, 11:36 AM",The Walker,3:53,Fitz and The Tantrums,More Than Just A Dream,Alternative,,54,"10/25/14, 5:24 PM"
"10/7/13, 6:53 PM",Only If for a Night,4:58,Florence + The Machine,Ceremonials (Deluxe Version),Alternative,,4,"12/2/11, 11:54 AM"
"10/7/13, 6:53 PM",Shake It Out,4:38,Florence + The Machine,Ceremonials (Deluxe Version),Alternative,,3,"10/11/13, 10:21 AM"
"10/7/13, 6:53 PM",What the Water Gave Me,5:33,Florence + The Machine,Ceremonials (Deluxe Version),Alternative,,3,
"10/7/13, 6:53 PM",Never Let Me Go,4:31,Florence + The Machine,Ceremonials (Deluxe Version),Alternative,,5,"2/7/13, 7:50 PM"
"10/7/13, 6:53 PM",Breaking Down,3:49,Florence + The Machine,Ceremonials (Deluxe Version),Alternative,,2,
"10/7/13, 6:53 PM",Lover to Lover,4:03,Florence + The Machine,Ceremonials (Deluxe Version),Alternative,,5,"11/16/12, 9:48 AM"
"10/7/13, 6:53 PM","No Light, No Light",4:35,Florence + The Machine,Ceremonials (Deluxe Version),Alternative,,3,"11/4/12, 10:14 PM"
"10/7/13, 6:53 PM",Seven Devils,5:03,Florence + The Machine,Ceremonials (Deluxe Version),Alternative,,3,"10/22/13, 4:10 PM"
"10/7/13, 6:53 PM",Heartlines,5:02,Florence + The Machine,Ceremonials (Deluxe Version),Alternative,,3,"2/12/12, 7:14 PM"
"10/7/13, 6:53 PM",Spectrum,5:12,Florence + The Machine,Ceremonials (Deluxe Version),Alternative,,2,"11/23/11, 2:12 PM"
"10/7/13, 6:53 PM",All This and Heaven Too,4:06,Florence + The Machine,Ceremonials (Deluxe Version),Alternative,,5,"10/20/13, 9:17 PM"
"10/7/13, 6:53 PM",Leave My Body,4:36,Florence + The Machine,Ceremonials (Deluxe Version),Alternative,,5,"6/9/13, 10:30 AM"
"10/7/13, 6:53 PM",Remain Nameless,4:01,Florence + The Machine,Ceremonials (Deluxe Version),Alternative,,6,"10/11/13, 8:33 AM"
"10/7/13, 6:53 PM",Strangeness and Charm,5:15,Florence + The Machine,Ceremonials (Deluxe Version),Alternative,,2,"11/23/11, 1:23 PM"
"10/7/13, 6:53 PM",Bedroom Hymns,3:01,Florence + The Machine,Ceremonials (Deluxe Version),Alternative,,4,"6/8/13, 11:04 PM"
"10/7/13, 6:53 PM",What the Water Gave Me,3:54,Florence + The Machine,Ceremonials (Deluxe Version),Alternative,,2,
"10/7/13, 6:53 PM",The Pretender,4:31,Foo Fighters,"Echoes, Silence, Patience & Grace",Alternative,,5,"10/22/12, 5:10 PM"
"4/2/11, 10:01 AM",Learn To Fly,3:57,Foo Fighters,There Is Nothing Left To Lose,Alternative,,3,"6/9/13, 9:13 AM"
"10/7/13, 6:53 PM",Pumped Up Kicks,4:00,Foster the People,Torches,Alternative,,9,"10/30/13, 1:47 PM"
"9/19/13, 8:47 AM",We Are Young (feat. Janelle Monáe),4:11,Fun.,We Are Young (feat. Janelle Monáe) - Single,Alternative,,25,"10/23/13, 1:05 PM"
"10/7/13, 6:53 PM",Charity Case,3:12,Gnarls Barkley,The Odd Couple,Alternative,,3,"10/1/12, 9:53 PM"
"10/7/13, 6:53 PM",Who's Gonna Save My Soul,3:15,Gnarls Barkley,The Odd Couple,Alternative,,2,"2/23/12, 11:04 AM"
"10/7/13, 6:53 PM",Going On,2:54,Gnarls Barkley,The Odd Couple,Alternative,,7,"9/7/13, 11:50 AM"
"10/7/13, 6:53 PM",Run (I'm a Natural Disaster),2:40,Gnarls Barkley,The Odd Couple,Alternative,,5,"9/3/11, 5:34 PM"
"10/7/13, 6:53 PM",A Little Better,3:08,Gnarls Barkley,The Odd Couple,Alternative,,4,"10/15/13, 11:40 AM"
"10/7/13, 6:53 PM",Crazy,2:58,Gnarls Barkley,St. Elsewhere,Alternative,,19,"10/11/13, 12:58 PM"
"5/3/12, 3:01 PM",Time To Kill,4:37,Gold & Youth ,Time To Kill Single,Alternative,,13,"2/1/13, 2:20 AM"
"4/2/11, 10:01 AM",Black Balloon,4:10,Goo Goo Dolls,Dizzy Up The Girl,Alternative,,1,"11/8/11, 1:35 PM"
"4/2/11, 10:01 AM",Let Love in,5:01,Goo Goo Dolls,Let Love in,Alternative,,,
"10/7/13, 6:53 PM",Dirty Harry,3:50,Gorillaz,Demon Days,Alternative,,2,
"10/7/13, 6:53 PM",Feel Good Inc.,3:41,Gorillaz,Demon Days,Alternative,,14,"8/4/14, 12:53 AM"
"10/7/13, 6:53 PM",Dare,4:06,Gorillaz,Demon Days,Alternative,,3,"4/21/14, 11:05 AM"
"10/7/13, 6:53 PM",Revolving Doors,3:26,Gorillaz,The Fall,Alternative,,11,"10/17/13, 6:47 PM"
"10/7/13, 6:53 PM",Orchestral Intro (feat. sinfonia ViVA),1:09,Gorillaz,Plastic Beach (Deluxe Version),Alternative,,3,"5/8/11, 3:04 PM"
"10/7/13, 6:53 PM",Welcome to the World of the Plastic Beach (feat. Snoop Dogg & Hypnotic Brass Ensemble),3:35,Gorillaz,Plastic Beach (Deluxe Version),Alternative,,3,"8/28/14, 2:04 PM"
"10/7/13, 6:53 PM","White Flag (feat. Bashy, Kano & The National Orchestra for Arabic Music)",3:43,Gorillaz,Plastic Beach (Deluxe Version),Alternative,,4,"6/8/13, 3:30 PM"
"10/7/13, 6:53 PM",Rhinestone Eyes,3:20,Gorillaz,Plastic Beach (Deluxe Version),Alternative,,2,"12/5/11, 9:59 AM"
"10/7/13, 6:53 PM",Stylo (feat. Mos Def & Bobby Womack),4:30,Gorillaz,Plastic Beach (Deluxe Version),Alternative,,6,"12/12/13, 4:50 PM"
"10/7/13, 6:53 PM",Superfast Jellyfish (feat. Gruff Rhys & De La Soul),2:55,Gorillaz,Plastic Beach (Deluxe Version),Alternative,,1,
"10/7/13, 6:53 PM",Empire Ants (feat. Little Dragon),4:43,Gorillaz,Plastic Beach (Deluxe Version),Alternative,,4,"9/7/13, 11:09 AM"
"10/7/13, 6:53 PM",Glitter Freeze (feat. Mark E Smith),4:03,Gorillaz,Plastic Beach (Deluxe Version),Alternative,,5,"6/9/13, 2:11 AM"
"10/7/13, 6:53 PM",Some Kind of Nature (feat. Lou Reed),3:00,Gorillaz,Plastic Beach (Deluxe Version),Alternative,,3,
"10/7/13, 6:53 PM",On Melancholy Hill,3:54,Gorillaz,Plastic Beach (Deluxe Version),Alternative,,4,"10/4/12, 5:23 PM"
"10/7/13, 6:53 PM",Broken,3:17,Gorillaz,Plastic Beach (Deluxe Version),Alternative,,5,
"10/7/13, 6:53 PM",Sweepstakes (feat. Mos Def & Hypnotic Brass Ensemble),5:20,Gorillaz,Plastic Beach (Deluxe Version),Alternative,,1,"10/2/12, 4:54 PM"
"10/7/13, 6:53 PM",Plastic Beach (feat. Mick Jones & Paul Simonon),3:47,Gorillaz,Plastic Beach (Deluxe Version),Alternative,,5,
"10/7/13, 6:53 PM",To Binge (feat. Little Dragon),3:56,Gorillaz,Plastic Beach (Deluxe Version),Alternative,,3,"11/2/11, 2:46 PM"
"10/7/13, 6:53 PM",Cloud of Unknowing (feat. Bobby Womack & sinfonia ViVA),3:06,Gorillaz,Plastic Beach (Deluxe Version),Alternative,,3,"4/22/14, 10:24 AM"
"10/7/13, 6:53 PM",Pirate Jet,2:32,Gorillaz,Plastic Beach (Deluxe Version),Alternative,,5,"7/21/14, 10:51 AM"
"10/7/13, 6:53 PM",Pirate's Progress,4:03,Gorillaz,Plastic Beach (Deluxe Version),Alternative,,1,
"10/7/13, 6:53 PM","Three Hearts, Seven Seas, Twelve Moons",2:15,Gorillaz,Plastic Beach (Deluxe Version),Alternative,,2,"10/11/11, 8:33 PM"
"10/7/13, 6:53 PM",Heavy Cross,4:03,Gossip,Heavy Cross - Single of the Week,Alternative,,3,"2/27/12, 11:15 PM"
"10/7/13, 6:53 PM",Here (In Your Arms),4:03,Hellogoodbye,Zombies! Aliens! Vampires! Dinosaurs!,Alternative,,2,"8/26/12, 2:28 PM"
"10/7/13, 6:53 PM",Ruby,3:23,Kaiser Chiefs,Ruby,Alternative,,4,"12/18/13, 11:45 PM"
"10/7/13, 6:53 PM",Mr. Brightside,3:43,The Killers,Hot Fuss,Alternative,,7,"8/26/14, 11:42 AM"
"10/7/13, 6:53 PM",Somebody Told Me,3:17,The Killers,Hot Fuss,Alternative,,2,"10/25/12, 3:17 PM"
"10/7/13, 6:53 PM",All These Things That I've Done,5:02,The Killers,Hot Fuss,Alternative,,3,
"10/7/13, 6:53 PM",Human,4:10,The Killers,Human - Single,Alternative,,1,
"10/7/13, 6:53 PM",When You Were Young,3:40,The Killers,Sam's Town,Alternative,,5,"10/12/13, 3:07 PM"
"10/7/13, 6:53 PM",Sex On Fire,3:23,Kings of Leon,Only By the Night (Deluxe Version),Alternative,,23,"9/9/14, 2:11 PM"
"10/7/13, 6:53 PM",Use Somebody,3:51,Kings of Leon,Only By the Night (Deluxe Version),Alternative,,30,"10/10/13, 12:20 PM"
"4/9/14, 8:36 PM",Flowers In Your Hair,1:50,The Lumineers,The Lumineers,Alternative,,9,"4/22/14, 1:04 AM"
"4/9/14, 8:36 PM",Stubborn Love,4:39,The Lumineers,The Lumineers,Alternative,,11,"4/24/14, 7:37 PM"
"10/7/13, 6:53 PM",I Follow Rivers,3:48,Lykke Li,Wounded Rhymes (Deluxe Version),Alternative,,13,"10/23/13, 11:59 AM"
"4/9/14, 8:36 PM",I Know Places,6:06,Lykke Li,Wounded Rhymes (Deluxe Version),Alternative,,13,"4/25/14, 1:27 AM"
"10/7/13, 6:53 PM",Daylight (Troublemaker Remix feat. De La Soul),4:26,Matt & Kim,Daylight (Troublemaker Remix feat. De La Soul) - Single,Alternative,,68,"6/10/13, 8:30 AM"
"10/7/13, 6:53 PM",Gold Guns Girls,4:05,Metric,Fantasies,Alternative,,17,"10/27/13, 1:03 PM"
"10/7/13, 6:53 PM",Shake It,3:00,Metro Station,Metro Station,Alternative,,4,"8/6/12, 8:06 AM"
"10/7/13, 6:53 PM",Electric Feel (Justice Remix),5:27,MGMT,Electric Feel (Justice Remix) - Single,Alternative,,10,"10/18/13, 1:08 PM"
"5/10/13, 10:37 PM",Alien Days,5:06,MGMT,Et Musique Pour Tous,Alternative,,15,"5/24/13, 8:04 PM"
"10/7/13, 6:53 PM",Time to Pretend,4:21,MGMT,Oracular Spectacular,Alternative,,16,"5/16/11, 5:50 AM"
"10/7/13, 6:53 PM",Weekend Wars,4:11,MGMT,Oracular Spectacular,Alternative,,3,"8/26/12, 2:49 PM"
"10/7/13, 6:53 PM",Electric Feel,3:50,MGMT,Oracular Spectacular,Alternative,,58,"10/17/14, 9:22 PM"
"10/7/13, 6:53 PM",Kids,5:03,MGMT,Oracular Spectacular,Alternative,,34,"10/28/13, 11:41 PM"
"10/7/13, 6:53 PM",Ayo Technology (Milow Cover Version),3:38,Milow,Ayo Technology - Single,Alternative,,7,"2/19/12, 8:20 PM"
"10/7/13, 6:53 PM",Supernova (Wide Boys Stadium Radio Mix),3:06,Mr Hudson & Kanye West,Supernova (Remixes) - EP,Alternative,,22,"6/10/13, 7:13 AM"
"10/7/13, 6:53 PM",The Cave,3:36,Mumford & Sons,Sigh No More,Alternative,,5,"2/26/12, 8:46 PM"
"10/7/13, 6:53 PM",White Blank Page,4:13,Mumford & Sons,Sigh No More,Alternative,,5,"6/10/13, 1:23 AM"
"10/7/13, 6:53 PM",Little Lion Man,4:05,Mumford & Sons,Sigh No More,Alternative,,1,"5/11/11, 4:03 PM"
"10/7/13, 6:53 PM",Starlight,4:00,Muse,Black Holes and Revelations,Alternative,,3,"10/3/12, 10:31 PM"
"10/7/13, 6:53 PM",Knights of Cydonia,6:07,Muse,Black Holes and Revelations,Alternative,,4,"6/9/13, 12:52 AM"
"10/7/13, 6:53 PM","Exogenesis: Symphony, Part 1 (Overture)",4:18,Muse,The Resistance,Alternative,,5,"6/3/12, 3:17 AM"
"10/7/13, 6:53 PM","Exogenesis: Symphony, Part 2 (Cross-pollination)",3:56,Muse,The Resistance,Alternative,,4,"6/9/13, 10:59 AM"
"10/7/13, 6:53 PM","Exogenesis: Symphony, Part 3 (Redemption)",4:37,Muse,The Resistance,Alternative,,3,"10/30/11, 6:35 PM"
"10/7/13, 6:53 PM",Come As You Are,3:39,Nirvana,Nevermind,Alternative,,4,"9/17/11, 2:27 PM"
"10/7/13, 6:53 PM",Smells Like Teen Spirit,4:37,Nirvana,,Alternative,,7,"12/6/12, 12:29 PM"
"10/7/13, 6:53 PM",Hit That,2:49,The Offspring,Splinter,Alternative,,6,"9/20/12, 5:03 PM"
"10/7/13, 6:53 PM",Moth's Wings,4:16,Passion Pit,Manners,Alternative,,14,"10/31/13, 4:22 PM"
"10/7/13, 6:53 PM","Love Like a Sunset, Pt. I",5:39,Phoenix,Wolfgang Amadeus Phoenix,Alternative,,13,"6/9/13, 5:24 PM"
"10/7/13, 6:53 PM","Love Like a Sunset, Pt. II",1:57,Phoenix,Wolfgang Amadeus Phoenix,Alternative,,7,
"10/7/13, 6:53 PM",All That We Needed,3:41,Plain White T's,All That We Needed,Alternative,,3,"5/24/14, 11:51 AM"
"10/7/13, 6:53 PM",Hey There Delilah,3:53,Plain White T's,All That We Needed,Alternative,,8,"2/3/14, 2:43 PM"
"10/7/13, 6:53 PM",L.E.S. Artistes,3:25,Santogold,Santogold,Alternative,,6,"6/9/13, 5:25 AM"
"4/2/11, 10:03 AM",Chasing Cars,4:28,Snow Patrol,Eyes Open,Alternative,,,
"10/7/13, 6:53 PM",MakeDamnSure,3:32,Taking Back Sunday,MakeDamnSure - Single,Alternative,,1,"5/7/11, 9:38 PM"
"4/2/11, 10:03 AM",One Note Song,1:24,Tenacious D,Tenacious D,Alternative,,,
"4/2/11, 10:03 AM",Double Team,3:11,Tenacious D,Tenacious D,Alternative,,2,"3/11/12, 5:01 PM"
"4/2/11, 10:03 AM",Fuck Her Gently,2:03,Tenacious D,Tenacious D,Alternative,,2,"2/26/12, 10:30 PM"
"4/2/11, 10:03 AM",Tribute,4:08,Tenacious D,Tenacious D,Alternative,,1,"5/8/11, 5:16 PM"
"10/7/13, 6:53 PM",Icky Thump,4:15,The White Stripes,Icky Thump,Alternative,,3,"3/27/13, 11:39 AM"
"10/7/13, 6:53 PM",Icky Thump,4:18,The White Stripes,Icky Thump,Alternative,,,
"10/7/13, 6:53 PM",Islands,2:41,The xx,xx,Alternative,,4,"2/19/13, 8:43 PM"
"10/7/13, 6:53 PM",Crystalised,3:22,The xx,XX (Bonus Track Version),Alternative,,55,"12/16/14, 12:27 PM"
"10/7/13, 6:53 PM",Infinity,5:13,The xx,XX (Bonus Track Version),Alternative,,53,"1/29/14, 1:44 PM"
"10/7/13, 6:53 PM",Heads Will Roll (Tommie Sunshine Remix),5:21,Yeah Yeah Yeahs,Heads Will Roll (Remixes) - EP,Alternative,,4,"2/7/13, 5:34 PM"
"10/7/13, 6:53 PM",Heads Will Roll (Little Vampire Remix),4:46,Yeah Yeah Yeahs,Heads Will Roll (Remixes) - EP,Alternative,,6,"6/10/13, 6:29 AM"
"10/7/13, 6:53 PM",Heads Will Roll,3:41,Yeah Yeah Yeahs,It's Blitz! (Deluxe Edition),Alternative,,22,"9/9/14, 3:24 PM"
"10/7/13, 6:53 PM",Gold Lion,3:07,Yeah Yeah Yeahs,Show Your Bones,Alternative,,8,"10/23/13, 12:15 PM"
"10/22/08, 6:16 AM",Go Go Go,3:01,The 88,"Go, Go, Go - Single of the Week",Alternative,,,
"10/10/12, 7:28 AM",You Only Live Once,3:09,The Strokes,First Impressions Of Earth,Alternative & Punk,,2,"10/21/12, 9:35 AM"
"3/30/12, 2:07 PM",You Make Me Feel... (ft. Sabi),3:35,Cobra Starship,Night Shades,"Alternative Rock, Synthpop, Pop Punk",,5,"11/17/12, 11:07 PM"
"4/2/11, 10:00 AM",Into the Ocean,4:00,Blue October,Foiled,Alternative/Indie,,2,"3/7/14, 12:44 PM"
"4/2/11, 10:01 AM",My Hero,4:20,Foo Fighters,The Colour And The Shape,AlternRock,,1,"10/18/11, 6:25 PM"
"4/2/11, 10:01 AM",Everlong,4:11,Foo Fighters,The Colour And The Shape,AlternRock,,,
"4/2/11, 10:03 AM",Son feat. Temaon and Timbaland,4:16,Natalia Nemets,,Ambient,,3,"6/9/13, 10:52 AM"
"12/9/13, 9:46 AM",Happy Up Here,2:43,Röyksopp,Junior,Ambient,,2,"12/16/13, 6:20 PM"
"12/9/13, 9:46 AM",The Girl and the Robot,4:28,Röyksopp,Junior,Ambient,,7,"8/28/14, 1:35 PM"
"12/9/13, 9:46 AM",Vision One,4:59,Röyksopp,Junior,Ambient,,2,"12/16/13, 6:25 PM"
"12/9/13, 9:46 AM",This Must Be It,4:41,Röyksopp,Junior,Ambient,,3,"12/21/13, 9:10 PM"
"12/9/13, 9:46 AM",Röyksopp Forever,4:59,Röyksopp,Junior,Ambient,,5,"12/21/13, 8:48 PM"
"12/9/13, 9:46 AM",Miss It So Much,5:01,Röyksopp,Junior,Ambient,,2,"12/16/13, 6:30 PM"
"12/9/13, 9:46 AM",Tricky Tricky,5:59,Röyksopp,Junior,Ambient,,2,"12/21/13, 8:54 PM"
"12/9/13, 9:46 AM",You Don't Have a Clue,4:33,Röyksopp,Junior,Ambient,,3,"12/21/13, 8:31 PM"
"12/9/13, 9:46 AM",Silver Cruiser,4:36,Röyksopp,Junior,Ambient,,3,"12/21/13, 8:43 PM"
"12/9/13, 9:46 AM",True to Life,5:50,Röyksopp,Junior,Ambient,,5,"12/21/13, 9:00 PM"
